raw_shapelet_num,pruned_shapelet_num,time,accuracy
50,1,4.11333333333,0.5625
100,1,6.84333333333,0.73
150,1,9.75333333333,0.73
200,1,12.3266666667,0.73
250,1,15.0266666667,0.6975
300,1,17.74,0.7025
50,6,5.0,0.67
100,6,7.72,0.7325
150,6,10.5333333333,0.74
200,6,13.0566666667,0.745
250,6,15.6566666667,0.755
300,6,18.4233333333,0.7375
50,11,6.03666666667,0.705
100,11,8.61333333333,0.7175
150,11,11.34,0.745
200,11,13.93,0.735
250,11,16.7133333333,0.7525
300,11,19.14,0.74
50,16,7.11333333333,0.705
100,16,9.57,0.6875
150,16,12.28,0.7475
200,16,14.7666666667,0.7375
250,16,17.57,0.7575
300,16,19.96,0.7425
50,21,8.16333333333,0.665
100,21,10.57,0.6925
150,21,13.1533333333,0.7225
200,21,15.5866666667,0.7125
250,21,18.3866666667,0.735
300,21,20.7833333333,0.7325
50,26,9.28,0.7075
100,26,11.6866666667,0.73
150,26,14.0966666667,0.68
200,26,16.5366666667,0.7325
250,26,19.34,0.7425
300,26,21.7066666667,0.7175
50,31,10.52,0.6675
100,31,12.8333333333,0.6975
150,31,15.0666666667,0.705
200,31,17.6166666667,0.71
250,31,20.21,0.7125
300,31,22.69,0.7325
50,36,10.71,0.6775
100,36,13.94,0.7525
150,36,16.2633333333,0.7025
200,36,18.7066666667,0.7075
250,36,21.17,0.7175
300,36,23.67,0.7575
50,41,10.7,0.6775
100,41,14.9866666667,0.7325
150,41,17.3533333333,0.75
200,41,19.7266666667,0.7275
250,41,22.2433333333,0.7075
300,41,24.6366666667,0.72
50,46,10.6733333333,0.6775
100,46,16.1333333333,0.7375
150,46,18.5366666667,0.74
200,46,20.81,0.73
250,46,23.2766666667,0.6725
300,46,25.46,0.7075
50,51,10.68,0.6775
100,51,17.23,0.7125
150,51,19.6833333333,0.76
200,51,22.01,0.735
250,51,24.3866666667,0.71
300,51,26.58,0.7125
